provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan
JAWA BARAT,3201,KABUPATEN BOGOR,0,TON
JAWA BARAT,3202,KABUPATEN SUKABUMI,101.978022,TON
JAWA BARAT,3203,KABUPATEN CIANJUR,93.6875,TON
JAWA BARAT,3204,KABUPATEN BANDUNG,122.1365356,TON
JAWA BARAT,3205,KABUPATEN GARUT,96.96286201,TON
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,38.95652174,TON
JAWA BARAT,3207,KABUPATEN CIAMIS,85.71428571,TON
JAWA BARAT,3208,KABUPATEN KUNINGAN,98.8,TON
JAWA BARAT,3209,KABUPATEN CIREBON,97.47984539,TON
JAWA BARAT,3210,KABUPATEN MAJALENGKA,119.5089686,TON
JAWA BARAT,3211,KABUPATEN SUMEDANG,55.97560976,TON
JAWA BARAT,3212,KABUPATEN INDRAMAYU,70.14010989,TON
JAWA BARAT,3213,KABUPATEN SUBANG,135.7142857,TON
JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON
JAWA BARAT,3215,KABUPATEN KARAWANG,82.5,TON
JAWA BARAT,3216,KABUPATEN BEKASI,0,TON
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,91,TON
JAWA BARAT,3218,KABUPATEN PANGANDARAN,5,TON
JAWA BARAT,3271,KOTA BOGOR,0,TON
JAWA BARAT,3272,KOTA SUKABUMI,100,TON
JAWA BARAT,3273,KOTA BANDUNG,0,TON
JAWA BARAT,3274,KOTA CIREBON,126,TON
JAWA BARAT,3275,KOTA BEKASI,0,TON
JAWA BARAT,3276,KOTA DEPOK,0,TON
JAWA BARAT,3277,KOTA CIMAHI,0,TON
JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON
JAWA BARAT,3279,KOTA BANJAR,0,TON
