provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan
JAWA BARAT,3201,KABUPATEN BOGOR,135549,KUINTAL
JAWA BARAT,3202,KABUPATEN SUKABUMI,1304,KUINTAL
JAWA BARAT,3203,KABUPATEN CIANJUR,1995,KUINTAL
JAWA BARAT,3204,KABUPATEN BANDUNG,13701,KUINTAL
JAWA BARAT,3205,KABUPATEN GARUT,15708,KUINTAL
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5529,KUINTAL
JAWA BARAT,3207,KABUPATEN CIAMIS,4463,KUINTAL
JAWA BARAT,3208,KABUPATEN KUNINGAN,0,KUINTAL
JAWA BARAT,3209,KABUPATEN CIREBON,0,KUINTAL
JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,KUINTAL
JAWA BARAT,3211,KABUPATEN SUMEDANG,0,KUINTAL
JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KUINTAL
JAWA BARAT,3213,KABUPATEN SUBANG,1508,KUINTAL
JAWA BARAT,3214,KABUPATEN PURWAKARTA,5194,KUINTAL
JAWA BARAT,3215,KABUPATEN KARAWANG,170,KUINTAL
JAWA BARAT,3216,KABUPATEN BEKASI,57335,KUINTAL
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7733,KUINTAL
JAWA BARAT,3218,KABUPATEN PANGANDARAN,114,KUINTAL
JAWA BARAT,3271,KOTA BOGOR,3990,KUINTAL
JAWA BARAT,3272,KOTA SUKABUMI,0,KUINTAL
JAWA BARAT,3273,KOTA BANDUNG,7,KUINTAL
JAWA BARAT,3274,KOTA CIREBON,70,KUINTAL
JAWA BARAT,3275,KOTA BEKASI,35322,KUINTAL
JAWA BARAT,3276,KOTA DEPOK,5041,KUINTAL
JAWA BARAT,3277,KOTA CIMAHI,59,KUINTAL
JAWA BARAT,3278,KOTA TASIKMALAYA,380,KUINTAL
JAWA BARAT,3279,KOTA BANJAR,2830,KUINTAL
