provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan
JAWA BARAT,3201,KABUPATEN BOGOR,3809.7,TON
JAWA BARAT,3202,KABUPATEN SUKABUMI,17932.1,TON
JAWA BARAT,3203,KABUPATEN CIANJUR,36550.1,TON
JAWA BARAT,3204,KABUPATEN BANDUNG,49654.6,TON
JAWA BARAT,3205,KABUPATEN GARUT,91135.4,TON
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,16897.7,TON
JAWA BARAT,3207,KABUPATEN CIAMIS,5980.9,TON
JAWA BARAT,3208,KABUPATEN KUNINGAN,647.2,TON
JAWA BARAT,3209,KABUPATEN CIREBON,6498.7,TON
JAWA BARAT,3210,KABUPATEN MAJALENGKA,13048.9,TON
JAWA BARAT,3211,KABUPATEN SUMEDANG,4203.3,TON
JAWA BARAT,3212,KABUPATEN INDRAMAYU,2627.2,TON
JAWA BARAT,3213,KABUPATEN SUBANG,5185.4,TON
JAWA BARAT,3214,KABUPATEN PURWAKARTA,4413.1,TON
JAWA BARAT,3215,KABUPATEN KARAWANG,19.7,TON
JAWA BARAT,3216,KABUPATEN BEKASI,62.9,TON
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,14037.8,TON
JAWA BARAT,3218,KABUPATEN PANGANDARAN,93.7,TON
JAWA BARAT,3271,KOTA BOGOR,193,TON
JAWA BARAT,3272,KOTA SUKABUMI,98,TON
JAWA BARAT,3273,KOTA BANDUNG,0,TON
JAWA BARAT,3274,KOTA CIREBON,107.7,TON
JAWA BARAT,3275,KOTA BEKASI,9,TON
JAWA BARAT,3276,KOTA DEPOK,0,TON
JAWA BARAT,3277,KOTA CIMAHI,14,TON
JAWA BARAT,3278,KOTA TASIKMALAYA,534,TON
JAWA BARAT,3279,KOTA BANJAR,283.3,TON
