provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan
JAWA BARAT,3201,KABUPATEN BOGOR,12033.1,TON
JAWA BARAT,3202,KABUPATEN SUKABUMI,14575.3,TON
JAWA BARAT,3203,KABUPATEN CIANJUR,4637.9,TON
JAWA BARAT,3204,KABUPATEN BANDUNG,3286.5,TON
JAWA BARAT,3205,KABUPATEN GARUT,14139.4,TON
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3252,TON
JAWA BARAT,3207,KABUPATEN CIAMIS,871.5,TON
JAWA BARAT,3208,KABUPATEN KUNINGAN,106.9,TON
JAWA BARAT,3209,KABUPATEN CIREBON,623.5,TON
JAWA BARAT,3210,KABUPATEN MAJALENGKA,1685.9,TON
JAWA BARAT,3211,KABUPATEN SUMEDANG,1854.3,TON
JAWA BARAT,3212,KABUPATEN INDRAMAYU,2004.2,TON
JAWA BARAT,3213,KABUPATEN SUBANG,7966.8,TON
JAWA BARAT,3214,KABUPATEN PURWAKARTA,6728,TON
JAWA BARAT,3215,KABUPATEN KARAWANG,3489.8,TON
JAWA BARAT,3216,KABUPATEN BEKASI,919.6,TON
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2505,TON
JAWA BARAT,3218,KABUPATEN PANGANDARAN,107.8,TON
JAWA BARAT,3271,KOTA BOGOR,850,TON
JAWA BARAT,3272,KOTA SUKABUMI,489.5,TON
JAWA BARAT,3273,KOTA BANDUNG,0,TON
JAWA BARAT,3274,KOTA CIREBON,0,TON
JAWA BARAT,3275,KOTA BEKASI,12.8,TON
JAWA BARAT,3276,KOTA DEPOK,16.6,TON
JAWA BARAT,3277,KOTA CIMAHI,16,TON
JAWA BARAT,3278,KOTA TASIKMALAYA,148.5,TON
JAWA BARAT,3279,KOTA BANJAR,598.7,TON
