provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan
JAWA BARAT,3201,KABUPATEN BOGOR,20352.7,TON
JAWA BARAT,3202,KABUPATEN SUKABUMI,624.7,TON
JAWA BARAT,3203,KABUPATEN CIANJUR,187.6,TON
JAWA BARAT,3204,KABUPATEN BANDUNG,5484.5,TON
JAWA BARAT,3205,KABUPATEN GARUT,4400.2,TON
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1037.2,TON
JAWA BARAT,3207,KABUPATEN CIAMIS,1522.8,TON
JAWA BARAT,3208,KABUPATEN KUNINGAN,105.8,TON
JAWA BARAT,3209,KABUPATEN CIREBON,300.5,TON
JAWA BARAT,3210,KABUPATEN MAJALENGKA,76.6,TON
JAWA BARAT,3211,KABUPATEN SUMEDANG,298,TON
JAWA BARAT,3212,KABUPATEN INDRAMAYU,514.7,TON
JAWA BARAT,3213,KABUPATEN SUBANG,770.4,TON
JAWA BARAT,3214,KABUPATEN PURWAKARTA,2301.7,TON
JAWA BARAT,3215,KABUPATEN KARAWANG,199,TON
JAWA BARAT,3216,KABUPATEN BEKASI,8438.4,TON
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2087.6,TON
JAWA BARAT,3218,KABUPATEN PANGANDARAN,82.2,TON
JAWA BARAT,3271,KOTA BOGOR,1034,TON
JAWA BARAT,3272,KOTA SUKABUMI,2029.4,TON
JAWA BARAT,3273,KOTA BANDUNG,14.7,TON
JAWA BARAT,3274,KOTA CIREBON,15.6,TON
JAWA BARAT,3275,KOTA BEKASI,4220.6,TON
JAWA BARAT,3276,KOTA DEPOK,1041.9,TON
JAWA BARAT,3277,KOTA CIMAHI,587.9,TON
JAWA BARAT,3278,KOTA TASIKMALAYA,37,TON
JAWA BARAT,3279,KOTA BANJAR,463,TON
