provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan
JAWA BARAT,3201,KABUPATEN BOGOR,118.4,TON
JAWA BARAT,3202,KABUPATEN SUKABUMI,1777.6,TON
JAWA BARAT,3203,KABUPATEN CIANJUR,3839.8,TON
JAWA BARAT,3204,KABUPATEN BANDUNG,6439.1,TON
JAWA BARAT,3205,KABUPATEN GARUT,6411.2,TON
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1.4,TON
JAWA BARAT,3207,KABUPATEN CIAMIS,37.5,TON
JAWA BARAT,3208,KABUPATEN KUNINGAN,239,TON
JAWA BARAT,3209,KABUPATEN CIREBON,0,TON
JAWA BARAT,3210,KABUPATEN MAJALENGKA,749.4,TON
JAWA BARAT,3211,KABUPATEN SUMEDANG,101.2,TON
JAWA BARAT,3212,KABUPATEN INDRAMAYU,44.5,TON
JAWA BARAT,3213,KABUPATEN SUBANG,687.7,TON
JAWA BARAT,3214,KABUPATEN PURWAKARTA,19.2,TON
JAWA BARAT,3215,KABUPATEN KARAWANG,888.3,TON
JAWA BARAT,3216,KABUPATEN BEKASI,656.5,TON
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1944.9,TON
JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON
JAWA BARAT,3271,KOTA BOGOR,0,TON
JAWA BARAT,3272,KOTA SUKABUMI,0,TON
JAWA BARAT,3273,KOTA BANDUNG,1.2,TON
JAWA BARAT,3274,KOTA CIREBON,0,TON
JAWA BARAT,3275,KOTA BEKASI,0,TON
JAWA BARAT,3276,KOTA DEPOK,0,TON
JAWA BARAT,3277,KOTA CIMAHI,8,TON
JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON
JAWA BARAT,3279,KOTA BANJAR,0,TON
