provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan
JAWA BARAT,3201,KABUPATEN BOGOR,19080.8,TON
JAWA BARAT,3202,KABUPATEN SUKABUMI,18369.4,TON
JAWA BARAT,3203,KABUPATEN CIANJUR,8477,TON
JAWA BARAT,3204,KABUPATEN BANDUNG,20285.5,TON
JAWA BARAT,3205,KABUPATEN GARUT,17035.5,TON
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5902.2,TON
JAWA BARAT,3207,KABUPATEN CIAMIS,2027.5,TON
JAWA BARAT,3208,KABUPATEN KUNINGAN,445.2,TON
JAWA BARAT,3209,KABUPATEN CIREBON,933,TON
JAWA BARAT,3210,KABUPATEN MAJALENGKA,3847.2,TON
JAWA BARAT,3211,KABUPATEN SUMEDANG,3711.7,TON
JAWA BARAT,3212,KABUPATEN INDRAMAYU,2088.9,TON
JAWA BARAT,3213,KABUPATEN SUBANG,11738.8,TON
JAWA BARAT,3214,KABUPATEN PURWAKARTA,7026.3,TON
JAWA BARAT,3215,KABUPATEN KARAWANG,3522.3,TON
JAWA BARAT,3216,KABUPATEN BEKASI,2480.1,TON
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7148.5,TON
JAWA BARAT,3218,KABUPATEN PANGANDARAN,201.8,TON
JAWA BARAT,3271,KOTA BOGOR,1161,TON
JAWA BARAT,3272,KOTA SUKABUMI,492.7,TON
JAWA BARAT,3273,KOTA BANDUNG,0.2,TON
JAWA BARAT,3274,KOTA CIREBON,0,TON
JAWA BARAT,3275,KOTA BEKASI,4.7,TON
JAWA BARAT,3276,KOTA DEPOK,1.7,TON
JAWA BARAT,3277,KOTA CIMAHI,22,TON
JAWA BARAT,3278,KOTA TASIKMALAYA,327.3,TON
JAWA BARAT,3279,KOTA BANJAR,1030.5,TON
