provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan
JAWA BARAT,3201,KABUPATEN BOGOR,337.5,TON
JAWA BARAT,3202,KABUPATEN SUKABUMI,10302.3,TON
JAWA BARAT,3203,KABUPATEN CIANJUR,12245.2,TON
JAWA BARAT,3204,KABUPATEN BANDUNG,91767.1,TON
JAWA BARAT,3205,KABUPATEN GARUT,147173.9,TON
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1520.2,TON
JAWA BARAT,3207,KABUPATEN CIAMIS,596.9,TON
JAWA BARAT,3208,KABUPATEN KUNINGAN,2613.6,TON
JAWA BARAT,3209,KABUPATEN CIREBON,0,TON
JAWA BARAT,3210,KABUPATEN MAJALENGKA,3517.2,TON
JAWA BARAT,3211,KABUPATEN SUMEDANG,6381.3,TON
JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON
JAWA BARAT,3213,KABUPATEN SUBANG,551.6,TON
JAWA BARAT,3214,KABUPATEN PURWAKARTA,30,TON
JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON
JAWA BARAT,3216,KABUPATEN BEKASI,0,TON
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3380.4,TON
JAWA BARAT,3218,KABUPATEN PANGANDARAN,4.7,TON
JAWA BARAT,3271,KOTA BOGOR,0,TON
JAWA BARAT,3272,KOTA SUKABUMI,0,TON
JAWA BARAT,3273,KOTA BANDUNG,1.4,TON
JAWA BARAT,3274,KOTA CIREBON,0,TON
JAWA BARAT,3275,KOTA BEKASI,0,TON
JAWA BARAT,3276,KOTA DEPOK,0,TON
JAWA BARAT,3277,KOTA CIMAHI,25,TON
JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON
JAWA BARAT,3279,KOTA BANJAR,0,TON
