provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan
JAWA BARAT,3201,KABUPATEN BOGOR,4654.7,TON
JAWA BARAT,3202,KABUPATEN SUKABUMI,20458.9,TON
JAWA BARAT,3203,KABUPATEN CIANJUR,10323.1,TON
JAWA BARAT,3204,KABUPATEN BANDUNG,96750.1,TON
JAWA BARAT,3205,KABUPATEN GARUT,51757.7,TON
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1067.5,TON
JAWA BARAT,3207,KABUPATEN CIAMIS,519.6,TON
JAWA BARAT,3208,KABUPATEN KUNINGAN,2508.1,TON
JAWA BARAT,3209,KABUPATEN CIREBON,0,TON
JAWA BARAT,3210,KABUPATEN MAJALENGKA,2634,TON
JAWA BARAT,3211,KABUPATEN SUMEDANG,1005.6,TON
JAWA BARAT,3212,KABUPATEN INDRAMAYU,964.6,TON
JAWA BARAT,3213,KABUPATEN SUBANG,319.6,TON
JAWA BARAT,3214,KABUPATEN PURWAKARTA,825.8,TON
JAWA BARAT,3215,KABUPATEN KARAWANG,296.9,TON
JAWA BARAT,3216,KABUPATEN BEKASI,319.2,TON
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2465.6,TON
JAWA BARAT,3218,KABUPATEN PANGANDARAN,32.7,TON
JAWA BARAT,3271,KOTA BOGOR,828,TON
JAWA BARAT,3272,KOTA SUKABUMI,1152,TON
JAWA BARAT,3273,KOTA BANDUNG,0.5,TON
JAWA BARAT,3274,KOTA CIREBON,0,TON
JAWA BARAT,3275,KOTA BEKASI,1840.5,TON
JAWA BARAT,3276,KOTA DEPOK,0,TON
JAWA BARAT,3277,KOTA CIMAHI,33,TON
JAWA BARAT,3278,KOTA TASIKMALAYA,54,TON
JAWA BARAT,3279,KOTA BANJAR,192.1,TON
