provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan
JAWA BARAT,3201,KABUPATEN BOGOR,18334.2,TON
JAWA BARAT,3202,KABUPATEN SUKABUMI,10078.6,TON
JAWA BARAT,3203,KABUPATEN CIANJUR,11111.2,TON
JAWA BARAT,3204,KABUPATEN BANDUNG,5735.2,TON
JAWA BARAT,3205,KABUPATEN GARUT,23151.3,TON
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2709,TON
JAWA BARAT,3207,KABUPATEN CIAMIS,906.7,TON
JAWA BARAT,3208,KABUPATEN KUNINGAN,57.1,TON
JAWA BARAT,3209,KABUPATEN CIREBON,1551.4,TON
JAWA BARAT,3210,KABUPATEN MAJALENGKA,3236.3,TON
JAWA BARAT,3211,KABUPATEN SUMEDANG,1747.5,TON
JAWA BARAT,3212,KABUPATEN INDRAMAYU,1959.8,TON
JAWA BARAT,3213,KABUPATEN SUBANG,2198.8,TON
JAWA BARAT,3214,KABUPATEN PURWAKARTA,3096.9,TON
JAWA BARAT,3215,KABUPATEN KARAWANG,1256.8,TON
JAWA BARAT,3216,KABUPATEN BEKASI,483.7,TON
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2852,TON
JAWA BARAT,3218,KABUPATEN PANGANDARAN,118.6,TON
JAWA BARAT,3271,KOTA BOGOR,1273.5,TON
JAWA BARAT,3272,KOTA SUKABUMI,285.4,TON
JAWA BARAT,3273,KOTA BANDUNG,0,TON
JAWA BARAT,3274,KOTA CIREBON,0,TON
JAWA BARAT,3275,KOTA BEKASI,31.8,TON
JAWA BARAT,3276,KOTA DEPOK,36.8,TON
JAWA BARAT,3277,KOTA CIMAHI,15,TON
JAWA BARAT,3278,KOTA TASIKMALAYA,63.8,TON
JAWA BARAT,3279,KOTA BANJAR,299.5,TON
