provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan
JAWA BARAT,3201,KABUPATEN BOGOR,3742.5,TON
JAWA BARAT,3202,KABUPATEN SUKABUMI,19376.3,TON
JAWA BARAT,3203,KABUPATEN CIANJUR,30572.8,TON
JAWA BARAT,3204,KABUPATEN BANDUNG,61877.4,TON
JAWA BARAT,3205,KABUPATEN GARUT,114426.2,TON
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3253.7,TON
JAWA BARAT,3207,KABUPATEN CIAMIS,1394,TON
JAWA BARAT,3208,KABUPATEN KUNINGAN,1465.9,TON
JAWA BARAT,3209,KABUPATEN CIREBON,0,TON
JAWA BARAT,3210,KABUPATEN MAJALENGKA,3913,TON
JAWA BARAT,3211,KABUPATEN SUMEDANG,2145.2,TON
JAWA BARAT,3212,KABUPATEN INDRAMAYU,470.9,TON
JAWA BARAT,3213,KABUPATEN SUBANG,13854.4,TON
JAWA BARAT,3214,KABUPATEN PURWAKARTA,2342.1,TON
JAWA BARAT,3215,KABUPATEN KARAWANG,2,TON
JAWA BARAT,3216,KABUPATEN BEKASI,0,TON
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7974.6,TON
JAWA BARAT,3218,KABUPATEN PANGANDARAN,12.6,TON
JAWA BARAT,3271,KOTA BOGOR,1026,TON
JAWA BARAT,3272,KOTA SUKABUMI,190.8,TON
JAWA BARAT,3273,KOTA BANDUNG,0.1,TON
JAWA BARAT,3274,KOTA CIREBON,0,TON
JAWA BARAT,3275,KOTA BEKASI,0,TON
JAWA BARAT,3276,KOTA DEPOK,0,TON
JAWA BARAT,3277,KOTA CIMAHI,0,TON
JAWA BARAT,3278,KOTA TASIKMALAYA,15,TON
JAWA BARAT,3279,KOTA BANJAR,392.5,TON
